2026-02-28T01:11:47.249Z [startup] pid=48568 execPath=C:\Users\docrs\AppData\Local\Temp\3AHEGqiFewqZgLeTcc0GrBzl8mR\In-Accord Launcher.exe portableDir=E:\In-Accord-Apps\dist\launcher-build-win32
2026-02-28T01:16:08.399Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:10.399Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:12.407Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:14.415Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:16.424Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:18.427Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:20.441Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:22.454Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:24.459Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:26.464Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:28.480Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:30.480Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:32.480Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:34.483Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:36.485Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:38.486Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:40.493Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:42.494Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:44.503Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:46.519Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:48.522Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:50.528Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:52.539Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:54.548Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:56.549Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:16:58.560Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:00.565Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:02.573Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:04.577Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:06.580Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:08.582Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:10.593Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:12.604Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:14.611Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:16.619Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:18.625Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:20.639Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:22.654Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
2026-02-28T01:17:24.663Z [build-seq] read E:\In-Accord-Apps\dist\launcher-build-win32\In-Accord.Launcher.build-seq.txt => 39
